Common or trade name,Chemical formula,CAS No.,AR5 GWP (100 year), Rotatable Bond Count,Defined Bond Stereocenter Count ,m/z 2nd Highest,Complexity,XLogP3-AA,Hydrogen Bond Acceptor Count,Bond dissociation energy (eV),B.p(C),Molecular Weight (g/mol),Exact Mass (g/mol),Monoisotopic Mass (g/mol),Heavy Atom Count,Undefined Atom Stereocenter Count ,1H NMR Spectra,13C NMR Spectra,17O NMR Spectra,19F NMR Spectra,Total Peaks,m/z Top Peaks,m/z 3nd Highest
Fluoro(methoxy)methane,CH3OCH2F,460–22–0,13,1,-2.53E-11,130.562331,9.999999999,0.5,2,6.770663934,8,64.06,64.03244294,64.03244294,4,-9.60E-12,0.706627664,105,38.24948811,-164,8.917350298,77.09685738,85.06667773
"R-133b, 1-chloro-1,1,2-trifluoro-ethane",C2H2F3Cl,421-04-5,16,1,4.54E-12,77.26099074,44.1,1.9,3,7.119058291,14.63,118.48,117.9797122,117.9797122,6,-6.58E-13,4.657911508,117.5,39.86018313,-66,27.67646368,74.95846788,-38.31825618
HFE-263m1; R-E-143a,CF3OCH2CH3,690–22–2,29,1,-1.34E-11,57.34286833,48.6,1.7,4,8.211874918,30,114.07,114.0292493,114.0292493,7,9.14E-12,1.725644097,43.55583813,36.23454698,-2.475316053,19.72771305,104.4824691,-131.0056921
"HFC-152, R-152, 1,2-DIFLUOROETHANE",CH2FCH2F,624–72–6,53,1,9.09E-11,46.00000001,6.000000002,0.9,2,6.947031902,31,66.05,66.02810645,66.02810645,4,1.82E-11,1.628395874,317.1369168,36.16653021,-226,15,33,45
HFE-365mcf2,CF3CF2OCH2CH3,22052–81–9,58,2,7.05E-12,92.57888577,107,2.3,6,6.70973897,29,164.07,164.0260556,164.0260556,10,-3.37E-12,4.077065184,141.7644967,35.16484758,-96.5406416,47.02200634,84.67584874,115.3288376
"R-151a, 1-CHLORO-1-FLUOROETHANE",C2H4ClF,1615-75-4,58,1.06E-11,-3.04E-12,27.00000001,15.5,1.7,1,6.502803076,16,82.5,81.998556,81.998556,4,1,-5.26548846,276.2327875,35.83452155,-124,51,47.00000001,44.99999999
"1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane",CF3CF2CF2OCH2CH3,22052–86–4,61,3,2.49E-11,64.59738079,172,3,8,6.637577512,40.554,214.08,214.0228619,214.0228619,13,-2.92E-11,4.802745705,258.4028077,35.58914091,-51.61149217,49.84851995,37.45738835,190.3131154
HFC-263fb,CH3CH2CF3,421–07–8,76,6.75E-12,2.02E-11,27,35.8,2.2,3,6.872162456,-12,98.07,98.03433465,98.03433465,6,-4.46E-12,8.437623413,-258.6343218,46.96625012,-69,8.999999999,29,79
"HCFC-123, R-123",CHCl2CF3,306-83-2,79,2.00E-11,2.21E-11,85,56.4,2.7,3,6.734589781,27.6,152.93,151.9407399,151.9407399,7,2.39E-11,5.8,122.5,37.00373725,-79,32,83,31
"R-226ba, 2-Chloro-1,1,1,2,3,3-hexafluoropropane (HCFC-226ea)",C3HF6Cl,51346-64-6,79,1,8.61E-12,138.1066283,119,3.1,6,6.553576828,16.74,186.48,185.9670967,185.9670967,10,1,5.556695448,175.9564148,39.57774708,-27.22031302,49.66928664,72.43172064,127.5739121
"R-31, Chlrofluoromethane",CH2FCl,593-70-4,85,-2.34E-10,4.39E-11,69.99999999,4.800000002,1.3,1,6.481550973,-9.10000001,68.47999999,67.98290589,67.98290589,3,-5.50E-11,-1.051311089,88.49999999,53.06002468,-1.499999995,33,67.99999999,32.99999999
"HFC-41, Fluoromethane",CH3F,593–53–3,92,-5.67E-11,-1.49E-11,33,1.999999998,0.6,1,6.599234836,-79,34.033,34.02187826,34.02187826,2,-2.65E-11,4.468755198,73.99999999,34.077989,-268,8.999999992,34,15
HFE-356pcc3,CH3OCF2CF2CHF2,160620–20–2,110,3,1.35E-11,53.13229429,133,2.4,7,6.63165359,36.459,182.06,182.0166337,182.0166337,11,-1.06E-11,4.872051968,200.6383356,34.65278985,-126.0003908,25.38245765,37.81872078,177.1354333
"R-234cb, 1,1-Dichloro-2,2,3,3-tetrafluoropropane",C3H2F4Cl2,4071-01-06,116,2,8.41E-12,95.51707201,91.8,3.1,4,6.613535787,24.36,184.94,183.9469681,183.9469681,9,-7.44E-12,5.003342241,151.1505158,40.15137766,-31.49980132,68.66080603,71.53471624,91.94585483
"HFC-152a, R-152a, 1,1-DIFLUOROETHANE",CH3CHF2,75–37–6,124,8.86E-12,-1.09E-11,65.00000001,11.5,1.4,2,6.800191025,-25,66.05,66.02810645,66.02810645,4,2.63E-11,2.868170317,-136.3264105,39.79104954,-109.5,34,51,46.99999999
Fluoro(fluoromethoxy)methane,CH2FOCH2F,462–51–1,130,2,-1.33E-12,18.85656015,15.1,1,3,6.71766157,34,82.05,82.02302107,82.02302107,5,-1.00E-11,5.5,102.5,40.60702848,-156.5,-25.30333697,-34.27519802,76.71034109
Difluoro(methoxy)methane,CH3OCHF2,359–15–9,144,1,-3.16E-11,82,21.6,1,3,6.872001909,-4.000000001,82.05,82.02302107,82.02302107,5,6.65E-12,0.151204599,-86.55694235,35.56978407,-88,22.02775434,81,89.81971868
HFC-272ca,CH3CF2CH3,420–45–1,144,7.63E-13,5.31E-11,45,27.9,1.6,2,6.771621776,-1.000000001,80.08,80.04375652,80.04375652,5,-3.68E-11,-0.029552286,41.85563953,39.39326032,-85,54,65,63.99999999
